faiss_id,catalog_item_id,image_id,product_id,filename,image_url
1,1,15970,15970,15970.jpg,/catalog-images/15970.jpg
2,2,39386,39386,39386.jpg,/catalog-images/39386.jpg
3,3,59263,59263,59263.jpg,/catalog-images/59263.jpg
4,4,59262,59262,59262.jpg,/catalog-images/59262.jpg
5,5,59223,59223,59223.jpg,/catalog-images/59223.jpg
6,6,59267,59267,59267.jpg,/catalog-images/59267.jpg
7,7,40547,40547,40547.jpg,/catalog-images/40547.jpg
8,8,21379,21379,21379.jpg,/catalog-images/21379.jpg
9,9,53759,53759,53759.jpg,/catalog-images/53759.jpg
10,10,58726,58726,58726.jpg,/catalog-images/58726.jpg
11,11,44875,44875,44875.jpg,/catalog-images/44875.jpg
12,12,58732,58732,58732.jpg,/catalog-images/58732.jpg
13,13,44830,44830,44830.jpg,/catalog-images/44830.jpg
14,14,44897,44897,44897.jpg,/catalog-images/44897.jpg
15,15,1855,1855,1855.jpg,/catalog-images/1855.jpg
16,16,30805,30805,30805.jpg,/catalog-images/30805.jpg
17,17,26960,26960,26960.jpg,/catalog-images/26960.jpg
18,18,29114,29114,29114.jpg,/catalog-images/29114.jpg
19,19,29117,29117,29117.jpg,/catalog-images/29117.jpg
20,20,30039,30039,30039.jpg,/catalog-images/30039.jpg
21,21,9204,9204,9204.jpg,/catalog-images/9204.jpg
22,22,48123,48123,48123.jpg,/catalog-images/48123.jpg
23,23,18653,18653,18653.jpg,/catalog-images/18653.jpg
24,24,47957,47957,47957.jpg,/catalog-images/47957.jpg
25,25,27677,27677,27677.jpg,/catalog-images/27677.jpg
26,26,57241,57241,57241.jpg,/catalog-images/57241.jpg
27,27,57252,57252,57252.jpg,/catalog-images/57252.jpg
28,28,37433,37433,37433.jpg,/catalog-images/37433.jpg
29,29,47928,47928,47928.jpg,/catalog-images/47928.jpg
30,30,46885,46885,46885.jpg,/catalog-images/46885.jpg
31,31,12369,12369,12369.jpg,/catalog-images/12369.jpg
32,32,12378,12378,12378.jpg,/catalog-images/12378.jpg
33,33,29928,29928,29928.jpg,/catalog-images/29928.jpg
34,34,42419,42419,42419.jpg,/catalog-images/42419.jpg
35,35,45568,45568,45568.jpg,/catalog-images/45568.jpg
36,36,51832,51832,51832.jpg,/catalog-images/51832.jpg
37,37,47359,47359,47359.jpg,/catalog-images/47359.jpg
38,38,33443,33443,33443.jpg,/catalog-images/33443.jpg
39,39,47305,47305,47305.jpg,/catalog-images/47305.jpg
40,40,58265,58265,58265.jpg,/catalog-images/58265.jpg
41,41,54476,54476,54476.jpg,/catalog-images/54476.jpg
42,42,47433,47433,47433.jpg,/catalog-images/47433.jpg
43,43,58278,58278,58278.jpg,/catalog-images/58278.jpg
44,44,47375,47375,47375.jpg,/catalog-images/47375.jpg
45,45,47398,47398,47398.jpg,/catalog-images/47398.jpg
46,46,54388,54388,54388.jpg,/catalog-images/54388.jpg
47,47,58269,58269,58269.jpg,/catalog-images/58269.jpg
48,48,47430,47430,47430.jpg,/catalog-images/47430.jpg
49,49,20421,20421,20421.jpg,/catalog-images/20421.jpg
50,50,38441,38441,38441.jpg,/catalog-images/38441.jpg
51,51,17429,17429,17429.jpg,/catalog-images/17429.jpg
52,52,12967,12967,12967.jpg,/catalog-images/12967.jpg
53,53,6842,6842,6842.jpg,/catalog-images/6842.jpg
54,54,13089,13089,13089.jpg,/catalog-images/13089.jpg
55,55,18461,18461,18461.jpg,/catalog-images/18461.jpg
56,56,9036,9036,9036.jpg,/catalog-images/9036.jpg
57,57,48311,48311,48311.jpg,/catalog-images/48311.jpg
58,58,7990,7990,7990.jpg,/catalog-images/7990.jpg
59,59,56019,56019,56019.jpg,/catalog-images/56019.jpg
60,60,21977,21977,21977.jpg,/catalog-images/21977.jpg
61,61,21948,21948,21948.jpg,/catalog-images/21948.jpg
62,62,21940,21940,21940.jpg,/catalog-images/21940.jpg
63,63,21985,21985,21985.jpg,/catalog-images/21985.jpg
64,64,21991,21991,21991.jpg,/catalog-images/21991.jpg
65,65,21964,21964,21964.jpg,/catalog-images/21964.jpg
66,66,21952,21952,21952.jpg,/catalog-images/21952.jpg
67,67,21987,21987,21987.jpg,/catalog-images/21987.jpg
68,68,21942,21942,21942.jpg,/catalog-images/21942.jpg
69,69,21975,21975,21975.jpg,/catalog-images/21975.jpg
70,70,22013,22013,22013.jpg,/catalog-images/22013.jpg
71,71,22007,22007,22007.jpg,/catalog-images/22007.jpg
72,72,22006,22006,22006.jpg,/catalog-images/22006.jpg
73,73,21956,21956,21956.jpg,/catalog-images/21956.jpg
74,74,37812,37812,37812.jpg,/catalog-images/37812.jpg
75,75,4729,4729,4729.jpg,/catalog-images/4729.jpg
76,76,56825,56825,56825.jpg,/catalog-images/56825.jpg
77,77,39988,39988,39988.jpg,/catalog-images/39988.jpg
78,78,59051,59051,59051.jpg,/catalog-images/59051.jpg
79,79,20099,20099,20099.jpg,/catalog-images/20099.jpg
80,80,58183,58183,58183.jpg,/catalog-images/58183.jpg
81,81,58174,58174,58174.jpg,/catalog-images/58174.jpg
82,82,29738,29738,29738.jpg,/catalog-images/29738.jpg
83,83,29742,29742,29742.jpg,/catalog-images/29742.jpg
84,84,53668,53668,53668.jpg,/catalog-images/53668.jpg
85,85,54018,54018,54018.jpg,/catalog-images/54018.jpg
86,86,54033,54033,54033.jpg,/catalog-images/54033.jpg
87,87,51658,51658,51658.jpg,/catalog-images/51658.jpg
88,88,3954,3954,3954.jpg,/catalog-images/3954.jpg
89,89,18839,18839,18839.jpg,/catalog-images/18839.jpg
90,90,18830,18830,18830.jpg,/catalog-images/18830.jpg
91,91,18838,18838,18838.jpg,/catalog-images/18838.jpg
92,92,18833,18833,18833.jpg,/catalog-images/18833.jpg
93,93,2886,2886,2886.jpg,/catalog-images/2886.jpg
94,94,23278,23278,23278.jpg,/catalog-images/23278.jpg
95,95,28690,28690,28690.jpg,/catalog-images/28690.jpg
96,96,28726,28726,28726.jpg,/catalog-images/28726.jpg
97,97,28721,28721,28721.jpg,/catalog-images/28721.jpg
98,98,28716,28716,28716.jpg,/catalog-images/28716.jpg
99,99,28695,28695,28695.jpg,/catalog-images/28695.jpg
100,100,8580,8580,8580.jpg,/catalog-images/8580.jpg
101,101,3168,3168,3168.jpg,/catalog-images/3168.jpg
102,102,18005,18005,18005.jpg,/catalog-images/18005.jpg
103,103,17871,17871,17871.jpg,/catalog-images/17871.jpg
104,104,9452,9452,9452.jpg,/catalog-images/9452.jpg
105,105,9451,9451,9451.jpg,/catalog-images/9451.jpg
106,106,38402,38402,38402.jpg,/catalog-images/38402.jpg
107,107,44984,44984,44984.jpg,/catalog-images/44984.jpg
108,108,36756,36756,36756.jpg,/catalog-images/36756.jpg
109,109,44982,44982,44982.jpg,/catalog-images/44982.jpg
110,110,45922,45922,45922.jpg,/catalog-images/45922.jpg
111,111,23290,23290,23290.jpg,/catalog-images/23290.jpg
112,112,36773,36773,36773.jpg,/catalog-images/36773.jpg
113,113,45898,45898,45898.jpg,/catalog-images/45898.jpg
114,114,36771,36771,36771.jpg,/catalog-images/36771.jpg
115,115,10268,10268,10268.jpg,/catalog-images/10268.jpg
116,116,45856,45856,45856.jpg,/catalog-images/45856.jpg
117,117,36826,36826,36826.jpg,/catalog-images/36826.jpg
118,118,32138,32138,32138.jpg,/catalog-images/32138.jpg
119,119,59435,59435,59435.jpg,/catalog-images/59435.jpg
120,120,45603,45603,45603.jpg,/catalog-images/45603.jpg
121,121,45605,45605,45605.jpg,/catalog-images/45605.jpg
122,122,46795,46795,46795.jpg,/catalog-images/46795.jpg
123,123,45574,45574,45574.jpg,/catalog-images/45574.jpg
124,124,45586,45586,45586.jpg,/catalog-images/45586.jpg
125,125,45588,45588,45588.jpg,/catalog-images/45588.jpg
126,126,45593,45593,45593.jpg,/catalog-images/45593.jpg
127,127,24628,24628,24628.jpg,/catalog-images/24628.jpg
128,128,35568,35568,35568.jpg,/catalog-images/35568.jpg
129,129,45611,45611,45611.jpg,/catalog-images/45611.jpg
130,130,35566,35566,35566.jpg,/catalog-images/35566.jpg
131,131,45616,45616,45616.jpg,/catalog-images/45616.jpg
132,132,45607,45607,45607.jpg,/catalog-images/45607.jpg
133,133,45609,45609,45609.jpg,/catalog-images/45609.jpg
134,134,45601,45601,45601.jpg,/catalog-images/45601.jpg
135,135,46796,46796,46796.jpg,/catalog-images/46796.jpg
136,136,45584,45584,45584.jpg,/catalog-images/45584.jpg
137,137,45576,45576,45576.jpg,/catalog-images/45576.jpg
138,138,45591,45591,45591.jpg,/catalog-images/45591.jpg
139,139,45596,45596,45596.jpg,/catalog-images/45596.jpg
140,140,45598,45598,45598.jpg,/catalog-images/45598.jpg
141,141,45590,45590,45590.jpg,/catalog-images/45590.jpg
142,142,45614,45614,45614.jpg,/catalog-images/45614.jpg
143,143,5891,5891,5891.jpg,/catalog-images/5891.jpg
144,144,38630,38630,38630.jpg,/catalog-images/38630.jpg
145,145,2307,2307,2307.jpg,/catalog-images/2307.jpg
146,146,2299,2299,2299.jpg,/catalog-images/2299.jpg
147,147,4943,4943,4943.jpg,/catalog-images/4943.jpg
148,148,11188,11188,11188.jpg,/catalog-images/11188.jpg
149,149,10866,10866,10866.jpg,/catalog-images/10866.jpg
150,150,59607,59607,59607.jpg,/catalog-images/59607.jpg
151,151,15528,15528,15528.jpg,/catalog-images/15528.jpg
152,152,13154,13154,13154.jpg,/catalog-images/13154.jpg
153,153,45258,45258,45258.jpg,/catalog-images/45258.jpg
154,154,42841,42841,42841.jpg,/catalog-images/42841.jpg
155,155,42851,42851,42851.jpg,/catalog-images/42851.jpg
